name,quantity_type,catalog_name,catalog_symbol,rp66_symbol,base_unit,a,b,c,d,
millijoules/square centimetre,energy per area,POSC,mJ/cm2,mJ/cm2,N/m,0,10,1,0,
millijoules/square metre,energy per area,POSC,mJ/m2,mJ/m2,N/m,0,0.001,1,0,
millinewtons/kilometre,force per length,POSC,mN/km,mN/km,N/m,0,1.00E-06,1,0,
millinewtons/metre,force per length,POSC,mN/m,mN/m,N/m,0,0.001,1,0,
newton per thirty meters,force per length,POSC,N/30m,,N/m,0,1,30,0,
newtons/metre,force per length,POSC,N/m,N/m,N/m,0,1,1,0,
poundals/centimetre,force per length,POSC,pdl/cm,,N/m,0,0.138255,0.01,0,
UK tons force/foot,force per length,POSC,tonfUK/ft,,N/m,0,9964.02,0.3048,0,
US tons force/foot,force per length,POSC,tonfUS/ft,,N/m,0,8896.44,0.3048,0,
pounds force/cubic foot,force per volume,POSC,lbf/ft3,lbf/ft3,N/m3,0,4.44822,0.0283169,0,
pounds force/US gallon,force per volume,POSC,lbf/galUS,lbf/galUS,N/m3,0,4.44822,0.00378541,0,
newtons/cubic metre,force per volume,POSC,N/m3,N/m3,N/m3,0,1,1,0,
dynes/centimetre fourth/gram cm cubed,parachor,POSC,(dyne/cm)4/gcm3,(dyne/cm)4/gcm3,N4/kg.m7,0,0.001,1,0,
newton/metre fourth/kilogram metre cubed,parachor,POSC,(N/m)4/kg.m3,(N/m)4/kg.m3,N4/kg.m7,0,1,1,0,
newtons fourth metres/kilogram,parachor,POSC,N4/kg.m7,N4/kg.m7,N4/kg.m7,0,1,1,0,
API neutron units,neutron API unit,POSC,nAPI,nAPI,nAPI,0,1,1,0,
octave,frequency interval,POSC,O,O,O,0,1,1,0,
megaohm,resistance,POSC,Mohm,Mohm,ohm,0,1.00E+06,1,0,
milliohm,resistance,POSC,mohm,mohm,ohm,0,0.001,1,0,
gigaohm,resistance,POSC,Gohm,Gohm,ohm,0,1.00E+09,1,0,
kilohm,resistance,POSC,kohm,kohm,ohm,0,1000,1,0,
nanohm,resistance,POSC,nohm,nohm,ohm,0,1.00E-09,1,0,
ohm,resistance,POSC,ohm,ohm,ohm,0,1,1,0,
teraohm,resistance,POSC,Tohm,Tohm,ohm,0,1.00E+12,1,0,
microohm,resistance,POSC,uohm,uohm,ohm,0,1.00E-06,1,0,
kilo ohm metre,electrical resistivity,POSC,kohm.m,kohm.m,ohm.m,0,1000,1,0,
ohm centimetres,electrical resistivity,POSC,ohm.cm,ohm.cm,ohm.m,0,0.01,1,0,
ohm metre,electrical resistivity,POSC,ohm.m,ohm.m,ohm.m,0,1,1,0,
ohm per metre,resistivity per length,POSC,ohm/m,ohm/m,ohm/m,0,1,1,0,
microhm per foot,resistivity per length,POSC,uohm/ft,uohm/ft,ohm/m,0,1.00E-06,0.3048,0,
microhm per meter,resistivity per length,POSC,uohm/m,uohm/m,ohm/m,0,1.00E-06,1,0,
megapascals,force per area,POSC,MPa,MPa,Pa,0,1.00E+06,1,0,
millipascal,force per area,POSC,mPa,mPa,Pa,0,0.001,1,0,
pascal,force per area,POSC,Pa,Pa,Pa,0,1,1,0,
torr,force per area,POSC,torr,,Pa,0,133.322,1,0,
Technical atmosphere,force per area,POSC,at,,Pa,0,98066.5,1,0,
Atmosphere,force per area,POSC,atm,atm,Pa,0,101325,1,0,
bar,force per area,POSC,bar,bar,Pa,0,100000,1,0,
barye (cgs unit),pressure,Wikipedia,barye,,Pa,0,0.1,1,0,
centimetre of water (4degC),pressure,Wikipedia,cmh2o,,Pa,0,98.0638,1,0,
cm of water at 4 degC.,force per area,POSC,cmH2O(4degC),,Pa,0,98.0638,1,0,
centimetre of mercury,pressure,Wikipedia,cmhg,,Pa,0,1333.22,1,0,
dynes/square centimetre,force per area,POSC,dyne/cm2,.1 Pa,Pa,0,0.1,1,0,
foot of water (39.2degF),pressure,Wikipedia,fth2o,,Pa,0,2988.98,1,0,
foot of mercury (conventional),pressure,Wikipedia,fthg,,Pa,0,40636.7,1,0,
gigapascal,force per area,POSC,GPa,GPa,Pa,0,1.00E+09,1,0,
hectobar,force per area,POSC,hbar,hbar,Pa,0,1.00E+07,1,0,
inches of water at 39.2 deg F,force per area,POSC,inH2O(39.2F),,Pa,0,249.082,1,0,
inches of water at 60 deg F,force per area,POSC,inH2O(60F),,Pa,0,248.84,1,0,
inches of mercury at 32 deg F,force per area,POSC,inHg(32F),,Pa,0,3386.38,1,0,
inches of mercury at 60 deg F,force per area,POSC,inHg(60F),,Pa,0,3376.85,1,0,
kilogram per square centimeter,force per area,POSC,kgf/cm2,kgf/cm2,Pa,0,9.80665,0.0001,0,
kilogram force/square millimetre,force per area,POSC,kgf/mm2,kgf/mm2,Pa,0,9.80665,1.00E-06,0,
kilonewtons/square metre,force per area,POSC,kN/m2,kN/m2,Pa,0,1000,1,0,
kilopascals,force per area,POSC,kPa,kPa,Pa,0,1000,1,0,
thousand pounds per square inch,force per area,POSC,kpsi,,Pa,0,6.89E+06,1,0,
kip per square inch,pressure,Wikipedia,ksi,,Pa,0,6894760,1,0,
pounds force/100 square foot,force per area,POSC,lbf/100ft2,,Pa,0,0.478803,1,0,
pounds force/square foot,force per area,POSC,lbf/ft2,lbf/ft2,Pa,0,47.8803,1,0,
pounds force/100 square foot,force per area,POSC,lbf/ft2(100),,Pa,0,0.478803,1,0,
pounds force/square inch,force per area,POSC,lbf/in2,lbf/in2,Pa,0,6894.76,1,0,
long ton per square foot,pressure,Wikipedia,long ton per square foot,,Pa,0,107252,1,0,
millibar,force per area,POSC,mbar,mbar,Pa,0,100,1,0,
millimetres of Mercury at 0 deg C,force per area,POSC,mmHg(0C),,Pa,0,133.322,1,0,
mega pounds per square inch,force per area,POSC,Mpsi,Mpsi,Pa,0,6.89E+09,1,0,
newtons/square metre,force per area,POSC,N/m2,N/m2,Pa,0,1,1,0,
newtons/square millimetre,force per area,POSC,N/mm2,N/mm2,Pa,0,1.00E+06,1,0,
pascal gauge,force per area,POSC,Pa(g),,Pa,101325,1,1,0,
poundal per square foot,pressure,Wikipedia,pdl/sq ft,,Pa,0,1.48816,1,0,
picopascal,force per area,POSC,pPa,pPa,Pa,0,1.00E-12,1,0,
pounds/square foot,force per area,POSC,psf,lbf/ft2,Pa,0,47.8803,1,0,
pounds/square inch,force per area,POSC,psi,psi,Pa,0,6894.76,1,0,
pounds/square inch absolute,force per area,POSC,psia,,Pa,0,6894.76,1,0,
pounds/square inch gauge,force per area,POSC,psig,,Pa,101325,6894.76,1,0,
short ton per square foot,pressure,Wikipedia,short ton per square foot,,Pa,0,95760.5,1,0,
UK tons force/square foot,pressure,POSC,tonfUK/ft2,,Pa,0,9964.02,0.092903,0,
US tons force/square foot,force per area,POSC,tonfUS/ft2,,Pa,0,95760.5,1,0,
US tons force/square inch,force per area,POSC,tonfUS/in2,,Pa,0,1.38E+07,1,0,
microbars,force per area,POSC,ubar,ubar,Pa,0,0.1,1,0,
microns of Mercury at 0 deg C,force per area,POSC,umHg(0C),,Pa,0,0.133322,1,0,
micropascal,force per area,POSC,uPa,uPa,Pa,0,1.00E-06,1,0,
micropounds/square inch,force per area,POSC,upsi,upsi,Pa,0,0.00689476,1,0,
poise,dynamic viscosity,POSC,P,P,Pa.s,0,0.1,1,0,
centipoise,dynamic viscosity,POSC,cP,cP,Pa.s,0,0.001,1,0,
dyne seconds/square centimetre,dynamic viscosity,POSC,dyne.s/cm2,,Pa.s,0,0.1,1,0,
kilograms/metre second,mass per time per length,POSC,kg/m.s,kg/m.s,Pa.s,0,1,1,0,
kilograms force seconds/square metre,dynamic viscosity,POSC,kgf.s/m2,kgf.s/m2,Pa.s,0,9.80665,1,0,
pounds force seconds/square foot,dynamic viscosity,POSC,lbf.s/ft2,lbf.s/ft2,Pa.s,0,47.8803,1,0,
pounds force seconds/square inch,dynamic viscosity,POSC,lbf.s/in2,lbf.s/in2,Pa.s,0,6894.76,1,0,
pounds mass/foot hour,mass per time per length,POSC,lbm/ft.h,lbm/h.ft,Pa.s,0,0.000413379,1,0,
pounds mass/foot second,mass per time per length,POSC,lbm/ft.s,lbm/s.ft,Pa.s,0,1.48816,1,0,
pounds mass/hour foot,mass per time per length,POSC,lbm/h.ft,lbm/h.ft,Pa.s,0,0.000413379,1,0,
pounds mass/second foot,mass per time per length,POSC,lbm/s.ft,lbm/s.ft,Pa.s,0,1.48816,1,0,
millipascal seconds,dynamic viscosity,POSC,mPa.s,mPa.s,Pa.s,0,0.001,1,0,
newton seconds/metre squared,dynamic viscosity,POSC,N.s/m2,N.s/m2,Pa.s,0,1,1,0,
pascal seconds,dynamic viscosity,POSC,Pa.s,Pa.s,Pa.s,0,1,1,0,
pound per square inch second,dynamic viscosity,POSC,psi.s,psi.s,Pa.s,0,6894.76,1,0,
pascal seconds/cubic metre,pressure time per volume,POSC,Pa.s/m3,Pa.s/m3,Pa.s/m3,0,1,1,0,
pounds per square inch days/barrel,pressure time per volume,POSC,psi.d/bbl,psi.d/bbl,Pa.s/m3,0,1,23.0592,0,
(psi days/cubic foot)squared/centipoise,nonDarcy flow coefficient,POSC,psi2.d2/cP.ft6,psi2.d2/cP.ft6,Pa.s/m6,0,3.55E+17,8.02E-07,0,
(psi days/cubic foot)squared/centipoise,nonDarcy flow coefficient,POSC,psi2.d2/cp.ft6,psi2.d2/cP.ft6,Pa.s/m6,0,3.55E+17,8.02E-07,0,
pascal second /cubic metre squared,nonDarcy flow coefficient,POSC,Pa.s/m6,Pa.s/m6,Pa.s/m6,0,1,1,0,
Atmospheres per ft,force per volume,POSC,atm/ft,atm/ft,Pa/m,0,101325,0.3048,0,
Atmospheres per hundred metre,force per volume,POSC,atm/hm,,Pa/m,0,101325,100,0,
Atmospheres/metre,force per volume,POSC,atm/m,atm/m,Pa/m,0,101325,1,0,
bar per kilometer,force per volume,POSC,bar/km,bar/km,Pa/m,0,100,1,0,
bar per meter,force per volume,POSC,bar/m,bar/m,Pa/m,0,100000,1,0,
gigapascal per centimeter,force per volume,POSC,GPa/cm,GPa/cm,Pa/m,0,1.00E+11,1,0,
kilopascal per hundred meter,force per volume,POSC,kPa/100m,kPa/hm,Pa/m,0,10,1,0,
kilopascals/metre,force per volume,POSC,kPa/m,kPa/m,Pa/m,0,1000,1,0,
megapascal per meter,force per volume,POSC,MPa/m,MPa/m,Pa/m,0,1.00E+06,1,0,
pascals/metre,force per volume,POSC,Pa/m,Pa/m,Pa/m,0,1,1,0,
pounds/square inch per 100 feet,force per volume,POSC,psi/100ft,,Pa/m,0,6894.76,30.48,0,
pounds/square inch per foot,force per volume,POSC,psi/ft,psi/ft,Pa/m,0,6894.76,0.3048,0,
pounds/square inch per 100 feet,force per volume,POSC,psi/ft(100),,Pa/m,0,6894.76,30.48,0,
pounds/square inch per thousand feet,force per volume,POSC,psi/kft,,Pa/m,0,6894.76,304.8,0,
pound per square inch per meter,force per volume,POSC,psi/m,psi/m,Pa/m,0,6894.76,1,0,
psi squared days/ centipoise cubic foot,Darcy flow coefficient,POSC,psi2.d/cP.ft3,psi2.d/cP.ft3,Pa/m3,0,4.11E+12,2.83E-05,0,
psi squared days/ centipoise cubic foot,Darcy flow coefficient,POSC,psi2.d/cp.ft3,psi2.d/cP.ft3,Pa/m3,0,4.11E+12,2.83E-05,0,
pascals/cubic metre,Darcy flow coefficient,POSC,Pa/m3,Pa/m3,Pa/m3,0,1,1,0,
atmosphere per hour,pressure per time,POSC,atm/h,atm/h,Pa/s,0,101325,3600,0,
bar per hour,pressure per time,POSC,bar/h,bar/h,Pa/s,0,100000,3600,0,
bar squared per centipoise,pressure squared per (dynamic viscosity),POSC,bar2/cP,bar2/cP,Pa/s,0,1.00E+13,1,0,
kilopascal per hour,pressure per time,POSC,kPa/h,kPa/h,Pa/s,0,1000,3600,0,
kilopascal per min,pressure per time,POSC,kPa/min,kPa/min,Pa/s,0,1000,60,0,
kilopascal squared per centipoise,pressure squared per (dynamic viscosity),POSC,kPa2/cP,kPa2/cP,Pa/s,0,1.00E+09,1,0,
kilopascal squared per thousand centipoise,pressure squared per (dynamic viscosity),POSC,kPa2/kcP,,Pa/s,0,1.00E+06,1,0,
megapascal per hour,pressure per time,POSC,MPa/h,MPa/h,Pa/s,0,1.00E+06,3600,0,
pascal per hour,pressure per time,POSC,Pa/h,Pa/h,Pa/s,0,1,3600,0,
pascal/ second,pressure per time,POSC,Pa/s,Pa/s,Pa/s,0,1,1,0,
pound per square inch per hour,pressure per time,POSC,psi/h,psi/h,Pa/s,0,6894.76,3600,0,
pound per square inch per minute,pressure per time,POSC,psi/min,psi/min,Pa/s,0,6894.76,60,0,
pounds/square inch squared/ centipoise,pressure squared per (dynamic viscosity),POSC,psi2/cP,psi2/cP,Pa/s,0,4.75E+09,1,0,
bar squared,pressure squared,POSC,bar2,bar2,Pa2,0,1.00E+10,1,0,
gigapascal squared,pressure squared,POSC,GPa2,GPa2,Pa2,0,1.00E+18,1,0,
kilopascal squared,pressure squared,POSC,kPa2,kPa2,Pa2,0,1.00E+06,1,0,
"thousand pound per square inch, squared",pressure squared,POSC,kpsi2,,Pa2,0,4.75E+13,1,0,
pascal squared,pressure squared,POSC,Pa2,Pa2,Pa2,0,1,1,0,
pound per square inch squared,pressure squared,POSC,psi2,psi2,Pa2,0,4.75E+07,1,0,
pH,pH,POSC,pH,,pH,0,1,1,0,
cycle,plane angle,POSC,c,c,rad,0,6.28319,1,0,
megaradian,plane angle,POSC,Mrad,Mrad,rad,0,1.00E+06,1,0,
milliradian,plane angle,POSC,mrad,mrad,rad,0,0.001,1,0,
arcminute; moa,angle,Wikipedia,arcminute; moa,,rad,0,0.000290888,1,0,
arcsecond,angle,Wikipedia,arcsecond,,rad,0,4.85E-06,1,0,
centesimal second,plane angle,POSC,ccgr,,rad,0,3.14159,2.00E+06,0,
centesimal minute,plane angle,POSC,cgr,,rad,0,3.14159,20000,0,
degree of an angle,plane angle,POSC,dega,dega,rad,0,0.0174533,1,0,
gons,plane angle,POSC,gon,,rad,0,0.015708,1,0,
grad,plane angle,POSC,gr,,rad,0,0.015708,1,0,
gigaradian,plane angle,POSC,Grad,Grad,rad,0,1.00E+09,1,0,
kiloradian,plane angle,POSC,krad,,rad,0,1000,1,0,
mil_6400,plane angle,POSC,mila,,rad,0,3.14159,3200,0,
minutes angular,plane angle,POSC,mina,mina,rad,0,0.000290888,1,0,
milliseconds angular,plane angle,POSC,mseca,,rad,0,4.85E-09,1,0,
octant,angle,Wikipedia,octant,,rad,0,0.785398,1,0,
quadrant,angle,Wikipedia,quadrant,,rad,0,1.5708,1,0,
radian,plane angle,POSC,rad,rad,rad,0,1,1,0,
seconds angular,plane angle,POSC,seca,seca,rad,0,4.85E-06,1,0,
sextant,angle,Wikipedia,sextant,,rad,0,1.0472,1,0,
sign,angle,Wikipedia,sign,,rad,0,0.523599,1,0,
microradian,plane angle,POSC,urad,urad,rad,0,1.00E-06,1,0,
degrees of an angle/100 feet,angle per length,POSC,dega/100ft,,rad/m,0,0.0174533,30.48,0,
degrees of an angle per thirty feet,angle per length,POSC,dega/30ft,,rad/m,0,0.0174533,9.144,0,
degrees of an angle/30 metres,angle per length,POSC,dega/30m,,rad/m,0,0.0174533,30,0,
degrees of an angle/foot,angle per length,POSC,dega/ft,dega/ft,rad/m,0,0.0174533,0.3048,0,
degrees of an angle/100 feet,angle per length,POSC,dega/ft(100),,rad/m,0,0.0174533,30.48,0,
degrees of an angle/metre,angle per length,POSC,dega/m,dega/m,rad/m,0,0.0174533,1,0,
degrees of an angle/30 metres,angle per length,POSC,dega/m(30),,rad/m,0,0.0174533,30,0,
radians per foot,angle per length,POSC,rad/ft,rad/ft,rad/m,0,1,0.3048,0,
radians/metre,angle per length,POSC,rad/m,rad/m,rad/m,0,1,1,0,
radians per cubic foot,angle per volume,POSC,rad/ft3,rad/ft3,rad/m3,0,1,0.0283168,0,
radians per cubic metre,angle per volume,POSC,rad/m3,rad/m3,rad/m3,0,1,1,0,
megahertz,frequency,POSC,MHz,MHz,rad/s,0,6.28E+06,1,0,
millihertz,frequency,POSC,mHz,mHz,rad/s,0,0.00628319,1,0,
cycles/second,angular velocity,POSC,c/s,c/s,rad/s,0,6.28319,1,0,
degrees of an angle per hour,rotational frequency,POSC,dega/h,dega/h,rad/s,0,0.0174533,3600,0,
degrees of an angle/minute,rotational frequency,POSC,dega/min,dega/min,rad/s,0,0.0174533,60,0,
degrees of an angle per second,rotational frequency,POSC,dega/s,dega/s,rad/s,0,0.0174533,1,0,
gigahertz,frequency,POSC,GHz,GHz,rad/s,0,6.28E+09,1,0,
kilohertz,frequency,POSC,kHz,kHz,rad/s,0,6283.19,1,0,
radians/second,angular velocity,POSC,rad/s,rad/s,rad/s,0,1,1,0,
revolutions/minute,angle per time,POSC,rev/min,,rad/s,0,6.28319,60,0,
revolutions/second,angle per time,POSC,rev/s,c/s,rad/s,0,6.28319,1,0,
revolutions/minute,angle per time,POSC,rpm,,rad/s,0,6.28319,60,0,
microhertz,frequency,POSC,uHz,uHz,rad/s,0,6.28E-06,1,0,
radians/second squared,angular acceleration,POSC,rad/s2,rad/s2,rad/s2,0,1,1,0,
revolutions/minute per second,angular acceleration,POSC,rpm/s,,rad/s2,0,6.28319,60,0,
megayears,time,POSC,Ma,Ma,s,0,3.16E+13,1,0,
annum,time,POSC,a,a,s,0,3.16E+07,1,0,
day,time,POSC,d,d,s,0,86400,1,0,
hour,time,POSC,h,h,s,0,3600,1,0,
milliseconds,time,POSC,ms,ms,s,0,0.001,1,0,
millisiemen,electric conductance,POSC,mS,mS,S,0,0.001,1,0,
picosecond,time,POSC,ps,ps,s,0,1.00E-12,1,0,
picosiemens,electric conductance,POSC,pS,pS,S,0,1.00E-09,1,0,
second,time,POSC,s,s,s,0,1,1,0,
siemens,electric conductance,POSC,S,S,S,0,1,1,0,
microsecond,time,POSC,us,us,s,0,1.00E-06,1,0,
microsiemens,electric conductance,POSC,uS,uS,S,0,1.00E-06,1,0,
100000 years,time,POSC,100ka,,s,0,3.16E+12,1,0,
ten milli second,time,POSC,cs,,s,0,0.01,1,0,
gigayears,time,POSC,Ga,,s,0,3.16E+16,1,0,
gigasiemens,electric conductance,POSC,GS,GS,S,0,1.00E+09,1,0,
hundred seconds,time,POSC,hs,,s,0,100,1,0,
kilosiemens,electric conductance,POSC,kS,kS,S,0,1000,1,0,
mhos,electric conductance,POSC,mho,mho,S,0,1,1,0,
minutes,time,POSC,min,min,s,0,60,1,0,
half a millisecond,time,POSC,ms/2,,s,0,0.0005,1,0,
megayears,time,POSC,MY,MA,s,0,3.16E+13,1,0,
nanoseconds,time,POSC,ns,ns,s,0,1.00E-09,1,0,
weeks,time,POSC,wk,,s,0,604800,1,0,
100000 years,time,POSC,yr(100k),,s,0,3.16E+12,1,0,
millisecond per meter,time per length,POSC,ms/m,ms/m,s/m,0,0.001,1,0,
millisiemens/metre,conductivity,POSC,mS/m,mS/m,S/m,0,0.001,1,0,
seconds/metre,time per length,POSC,s/m,s/m,s/m,0,1,1,0,
siemens/metre,conductivity,POSC,S/m,S/m,S/m,0,1,1,0,
hour per thousand foot,time per length,POSC,h/kft,,s/m,0,3600,304.8,0,
hour per kilometer,time per length,POSC,h/km,h/km,s/m,0,3.6,1,0,
mhos/metre,conductivity,POSC,mho/m,mho/m,S/m,0,1,1,0,
minute per foot,time per length,POSC,min/ft,min/ft,s/m,0,60,0.3048,0,
minute per meter,time per length,POSC,min/m,min/m,s/m,0,60,1,0,
millimhos/metre,conductivity,POSC,mmho/m,mmho/m,S/m,0,0.001,1,0,
milliseconds/centimetre,time per length,POSC,ms/cm,ms/cm,s/m,0,0.1,1,0,
millisecond per foot,time per length,POSC,ms/ft,ms/ft,s/m,0,0.001,0.3048,0,
milliseconds/inch,time per length,POSC,ms/in,ms/in,s/m,0,0.001,0.0254,0,
nanoseconds/foot,time per length,POSC,ns/ft,ns/ft,s/m,0,1.00E-09,0.3048,0,
nanoseconds/metre,time per length,POSC,ns/m,ns/m,s/m,0,1.00E-09,1,0,
seconds/centimetre,time per length,POSC,s/cm,s/cm,s/m,0,100,1,0,
seconds/foot,time per length,POSC,s/ft,s/ft,s/m,0,1,0.3048,0,
seconds/inch,time per length,POSC,s/in,s/in,s/m,0,1,0.0254,0,
microseconds/foot,time per length,POSC,us/ft,us/ft,s/m,0,1.00E-06,0.3048,0,
microseconds/metre,time per length,POSC,us/m,us/m,s/m,0,1.00E-06,1,0,
day per barrel,time per volume,POSC,d/bbl,d/bbl,s/m3,0,86400,0.158987,0,
days/cubic foot,time per volume,POSC,d/ft3,d/ft3,s/m3,0,86400,0.0283168,0,
day per thousand cubic feet,time per volume,POSC,d/k(ft3),,s/m3,0,86400,28.3168,0,
days/cubic metre,time per volume,POSC,d/m3,d/m3,s/m3,0,86400,1,0,
hours/cubic foot,time per volume,POSC,h/ft3,h/ft3,s/m3,0,3600,0.0283168,0,
hour per cubic meter,time per volume,POSC,h/m3,h/m3,s/m3,0,3600,1,0,
second per cubic foot,time per volume,POSC,s/ft3,s/ft3,s/m3,0,1,0.0283168,0,
second per litre,time per volume,POSC,s/L,s/L,s/m3,0,1,0.001,0,
seconds/cubic metre,time per volume,POSC,s/m3,s/m3,s/m3,0,1,1,0,
second per UK quart,time per volume,POSC,s/qtUK,,s/m3,0,1,0.00113652,0,
second per US quart,time per volume,POSC,s/qtUS,,s/m3,0,1,0.000946353,0,
cubic feet at standard conditions,standard volume,POSC,"ft3(std,60F)",,scm(15C),0,0.0011953,1,0,
giga standard cubic metres 15C,standard volume,POSC,Gsm3,,scm(15C),0,1.00E+09,1,0,
kilo standard cubic metres 15C,standard volume,POSC,ksm3,,scm(15C),0,1000,1,0,
million standard cubic feet at 60 deg F,standard volume,POSC,MMscf(60F),,scm(15C),0,28262.4,1,0,
million standard cubic metres 15C,standard volume,POSC,MMscm(15C),,scm(15C),0,1.00E+06,1,0,
million stock tank barrels 60 deg F,standard volume,POSC,MMstb(60F),,scm(15C),0,158987,1,0,
thousand cubic feet at 60 deg F,standard volume,POSC,Mscf(60F),,scm(15C),0,28.2624,1,0,
mega standard cubic metres 15C,standard volume,POSC,Msm3,,scm(15C),0,1.00E+06,1,0,
thousand stock tank barrels 60 F,standard volume,POSC,Mstb(60F),,scm(15C),0,158.987,1,0,
std cubic feet at 60 deg F,standard volume,POSC,scf(60F),scf(60F),scm(15C),0,0.0282624,1,0,
stock tank barrel at 60 deg F,standard volume,POSC,stb(60F),,scm(15C),0,0.158987,1,0,
million stock tank barrels 60 deg F/acre,standard volume per area,POSC,MMstb/acre,,scm(15C)/m2,0,158987,4046.87,0,
std cubic feet at 60 deg F/square foot,standard volume per area,POSC,scf(60F)/ft2,,scm(15C)/m2,0,0.0282624,0.092903,0,
"stock tank barrels, 60 deg F/acre",standard volume per area,POSC,stb(60F)/acre,,scm(15C)/m2,0,0.158987,4046.87,0,
"million stbs, 60 deg F/acre foot",standard volume per volume,POSC,MMstb/acre.ft,,scm(15C)/m3,0,158987,1233.49,0,
std cubic feet at 60 deg F/barrel,standard volume per volume,POSC,scf(60F)/bbl,,scm(15C)/m3,0,0.0282624,0.158987,0,
std cubic feet at 60 deg Ft/cubic foot,standard volume per volume,POSC,scf(60F)/ft3,,scm(15C)/m3,0,0.998076,1,0,
"stock tank barrels, 60 deg F/barrel",standard volume per volume,POSC,stb(60F)/bbl,,scm(15C)/m3,0,1,1,0,
thousand std cubic metres/ day,standard volume per time,POSC,ksm3/d,,scm(15C)/s,0,1000,86400,0,
million standard cubic feet/day,standard volume per time,POSC,MMscf(60F)/d,,scm(15C)/s,0,28262.4,86400,0,
"million std cubic metres, 15 degC/day",standard volume per time,POSC,MMscm(15C)/d,,scm(15C)/s,0,1.00E+06,86400,0,
"million stock tank barrels, 60 deg F/day",standard volume per time,POSC,MMstb(60F)/d,,scm(15C)/s,0,158987,86400,0,
thousand standard cubic feet/day,standard volume per time,POSC,Mscf(60F)/d,,scm(15C)/s,0,28.2624,86400,0,
"thousand std cubic metres, 15 degC/day",standard volume per time,POSC,Mscm(15C)/d,,scm(15C)/s,0,1000,86400,0,
"thousand stock tank barrels,60 deg F/day",standard volume per time,POSC,Mstb(60F)/d,,scm(15C)/s,0,158.987,86400,0,
standard cubic feet/day,standard volume per time,POSC,scf(60F)/d,,scm(15C)/s,0,0.0282624,86400,0,
std cubic metres at 15 deg C/day,standard volume per time,POSC,scm(15C)/d,,scm(15C)/s,0,1,86400,0,
"stock tank barrels, 60 deg F/day",standard volume per time,POSC,stb(60F)/d,,scm(15C)/s,0,0.158987,86400,0,
steradian,solid angle,POSC,sr,sr,sr,0,1,1,0,
milli-rem,dose equivalent,POSC,mrem,,Sv,0,1.00E-05,1,0,
millisievert,dose equivalent,POSC,mSv,mSv,Sv,0,0.001,1,0,
rem,dose equivalent,POSC,rem,,Sv,0,0.01,1,0,
sievert,dose equivalent,POSC,Sv,Sv,Sv,0,1,1,0,
milli-rems per hour,dose equivalent rate,POSC,mrem/h,,Sv/s,0,1.00E-05,3600,0,
millisieverts per hour,dose equivalent rate,POSC,mSv/h,,Sv/s,0,0.001,3600,0,
rems per hour,dose equivalent rate,POSC,rem/h,,Sv/s,0,0.01,3600,0,
sieverts per hour,dose equivalent rate,POSC,Sv/h,,Sv/s,0,1,3600,0,
sievert per second,dose equivalent rate,POSC,Sv/s,,Sv/s,0,1,1,0,
tesla,magnetic induction,POSC,T,T,T,0,1,1,0,
gauss,magnetic induction,POSC,gauss,,T,0,0.0001,1,0,
milligauss,magnetic induction,POSC,mgauss,,T,0,1.00E-07,1,0,
milliteslas,magnetic induction,POSC,mT,mT,T,0,0.001,1,0,
nanoteslas,magnetic induction,POSC,nT,nT,T,0,1.00E-09,1,0,
microteslas,magnetic induction,POSC,uT,uT,T,0,1.00E-06,1,0,
megavolt,electric potential,POSC,MV,MV,V,0,1.00E+06,1,0,
millivolts,electric potential,POSC,mV,mV,V,0,0.001,1,0,
kilovolt,electric potential,POSC,kV,kV,V,0,1000,1,0,
microvolts,electric potential,POSC,uV,uV,V,0,1.00E-06,1,0,
volt,electric potential,POSC,V,V,V,0,1,1,0,
volts/Bel,potential difference per per power drop,POSC,V/B,V/B,V/B,0,1,1,0,
volts/decibel,potential difference per per power drop,POSC,V/dB,V/dB,V/B,0,10,1,0,
millivolt per foot,electric field strength,POSC,mV/ft,mV/ft,V/m,0,0.001,0.3048,0,
millivolt per meter,electric field strength,POSC,mV/m,mV/m,V/m,0,0.001,1,0,
microvolt per foot,electric field strength,POSC,uV/ft,uV/ft,V/m,0,1.00E-06,0.3048,0,
microvolt per meter,electric field strength,POSC,uV/m,uV/m,V/m,0,1.00E-06,1,0,
volts/metre,electric field strength,POSC,V/m,V/m,V/m,0,1,1,0,
ch,power,POSC,ch,,W,0,735.499,1,0,
megawatts,power,POSC,MW,MW,W,0,1.00E+06,1,0,
milliwatt,power,POSC,mW,mW,W,0,0.001,1,0,
poncelet,power,Wikipedia,p,,W,0,980.665,1,0,
atmosphere-cubic centimetre per minute,power,Wikipedia,atm ccm[citation needed],,W,0,0.00168875,1,0,
atmosphere-cubic centimetre per second,power,Wikipedia,atm ccs[citation needed],,W,0,0.101325,1,0,
atmosphere-cubic foot per hour,power,Wikipedia,atm cfh[citation needed],,W,0,0.797001,1,0,
atmosphere-cubic foot per minute,power,Wikipedia,atm cfm[citation needed],,W,0,47.8201,1,0,
atmosphere-cubic foot per second,power,Wikipedia,atm cfs[citation needed],,W,0,2869.2,1,0,
horsepower (boiler),power,Wikipedia,bhp[citation needed],,W,0,9810.66,1,0,
million Btus/hour,heat flow rate,POSC,Btu(million)/hr,,W,0,293071,1,0,
British thermal unit/hour,heat flow rate,POSC,Btu/hr,Btu/h,W,0,0.293071,1,0,
